29.50922633,0,4.040348399
29.50922633,0.76525,4.040348399
29.50922633,1.5305,4.040348399
29.50922633,2.29575,4.040348399
29.50922633,3.061,4.040348399
29.76790909,3.68425,4.097138184
30.04268144,4.3075,4.148224217
30.32615708,4.93075,4.188378949
30.61209691,5.554,4.225255906
30.89910621,6.17725,4.260034502
31.18685999,6.8005,4.293125687
31.47486226,7.42375,4.324494823
31.76228056,8.047,4.353582239
32.04909817,8.67025,4.380391333
32.3361091,9.2935,4.404780904
32.62338075,9.91675,4.426959443
32.91066881,10.54,4.447558617
33.1818,11.09,4.462
33.28445682,11.29812695,4.468481931
33.78277537,12.0562539,4.482192246
34.28108253,12.81438085,4.495892663
34.77939969,13.5725078,4.509610233
35.27772009,14.33063475,4.522592525
35.7760183,15.0887617,4.533676919
36.27432128,15.84688865,4.5429331
36.77265213,16.6050156,4.550814987
37.27100972,17.36314255,4.557156988
37.76936929,18.1212695,4.562325986
38.26770521,18.87939646,4.566357611
38.76601077,19.63752341,4.569390899
39.26431028,20.39565036,4.571637862
39.76261528,21.15377731,4.572977239
40.26092976,21.91190426,4.573651589
40.75927122,22.67003121,4.574134263
41.25763724,23.42815816,4.574582459
41.7559963,24.18628511,4.574793116
42.25432102,24.94441206,4.574520711
42.75260997,25.70253901,4.573989176
43.25086501,26.46066596,4.57333129
43.74908794,27.21879291,4.572600258
44.24730862,27.97691986,4.571850196
44.74556985,28.73504681,4.571107538
45.24387183,29.49317376,4.570437514
45.74219066,30.25130071,4.569907645
46.24051139,31.00942766,4.569379022
46.73884251,31.76755461,4.568933252
47.23719841,32.52568156,4.568997692
47.73554531,33.28380851,4.569417062
48.23386959,34.04193546,4.568976834
48.73220442,34.80006242,4.564539804
49.2305326,35.55818937,4.552352393
49.74944256,36.31631632,4.539933248